English,Tagin
I gave up,ngo mwwgu kama do
Houses are beautiful,Naam v kaapu v
we enjoy together,ngonu soobam nyirbam do
He had fun with her,bww ho lokv alvbv soodv pa
don't pull the trigger,maboka mvbik ma
Takar has a car,Takar gv kar aku dodo 
Takar put his bag under the table,Takar nw gv beg vm tebvl arww lo apv pa
What's your favorite sea creature?,no gv alv yasuk nv ngui hugu la?
Did you ask Takar why?,no Takar nyi hugu kv hvla tvka pvnv ri?
five scoop of ice-cream for me,ngom ais-kriim gobngu go
Takar is biased,Takar dwdw-pvrw ma
Aren't you new here?,no soka nutun nv nyi mangv?
blowing nose,tanap haadu
the road has been constructed till the Dugi village,Lamda ngv Dugi nampam mvchi ro
Moral:Friends come in all shapes and sizes,tvgap nam gaam:ajin nwgww nv abar la abar lo aado
my ear is having a shrilling sound,ngo nyeruu ngv runggok do
all come down to the ground,mvlw ngv naako so idum tho
Your lips are blue,nogv nabar vh yagor do
He died a sad death,v hinru bv sipa
did the ritual start?,uyu ngv rigak ro?
this chilly is hot,jalok si adwk do
the disease has just began,lvvma ngv hvjak chia pv
Takar and his grandmother sat together,Takar la Takar gv ayo doobam to
give a herd of mithun,subu butwng gu jito
He wrote about his faithfulness to his brothers and sisters and how they would live in harmony with each other.,Hv ninyigv kristan am mvngchin la mvngjwngnam am okv oguaingbv kristan singkurrikur bv risvdosv vdw um lvktoku.
aquatic,haai tvrww
Takar made a few serious mistakes,Takar silv yaalv maabv rimor pa
I'm dying,ngo side kunv
If you come I will go early,no aabo lo ngo igor re
your are interested in throwing stone,no vlw hargi pvbo la
let's apply mother earth's rice paste to each other,sii wtw vm kaju ngunu hwrmen la kuju
He did it for money,v vm morko lvga bv ripa
Bring it back to me,vm ngo gv dooku lo naakur to
He is a fish dealer,bww ngui pyoknv nyi rido
I feel the wind,ngo duuri vm himpa do
15th July to 15th August,seeu poolv
where is the rope for pulling mithun?,Subu leetap hugulo?
Go and look for Takar,vvgv rila Takar nyi kaakar te
Do you go to school?,no iskul vvdo?
on seeing all the efforts of his children Atu sii's heart melted and let the natural flow of the living sphere as it was before,Atu Sii haaluk laikula hogu mvnwng vm gvngrap-rirap mopv kunv
He has a funny name,v gv mwwnyar nv amin doodo
walking around,soomin kardo
I see a cloud,ngo hapom vm kapa do
Don't you like that?,vm no hinga ma ai?
I'd leave,ngo vvre ku
squeze outhe water from cloth to dry,iji so yejik la yepu tho
the bird is flying,pvta nga jardo
Do you need a break?,no doonw chinchi pa?
try give me that machete,oryok jika to
Who ate?,hvyv dvpa?
give me two bundles of banana,ngom kopak bwwnyi go jito
Takar is nearby,Takar jaari-jako do
A salt seller used to carry the salt bag on his donkey to the market every day,aku alu pyoknv nyi lvku yabin gv kokww lo alu pubam gu bagnv la bajar lo alo diki bv vvto
Be a man,nyi bv rila kv
I dont know how to care dog,ngo anga ikki paklak ma
hide your hand,no alaka lakchii tho
Takar is manly,Takar nyilo-malo do
let go and watch,kaanya tww ju
Can you do a silly dance?,no rijik-ribik nv dans rila re?
Don't trust anybody,nyi mwnww vm tvjii yo
You're the biggest,no kai yasuk pa
I will go,ngo vngre
be careful you may fall down,hima suto hoolu jila
Wait!,dooria to!
Luke called Jesus by the Spirit of the Lord to be the one who will bring good news to the poor.,"Luk Jisunyi Dvbv gv Dow lokv goklinla “heemanv vdwa alvnv yunying gvvjinv gubv,”"
distribute the meat to everyone by cutting into small pieces,vrik addin so mvnw nga twksik tho
Have fun,nyarmin-soomin lakv
What's your favorite bedtime story?,no gv yupdw lo alv yasuk nv herak hugu do?
we have been playing since morning,ngunu svvru lokv gyobv do
Takar promised to take me fishing,Takar ngom vkar harte bv vvre kv hvla hvpa
"The awakening, the revelation, and the Lord’s coming (Luke 24:1-53)","Turkurkunam, kaatamsikunam, okv Dvbv gv chaakunam (24:1-53)"
and there was no water for the plants,nvsii-nvma lvga bv isi gu ka kaama
The dao is not sharp,Oryok v aryik ma
So I cannot be your friend,hvkv lvga bv ngo no gv ajin rila mare
Is it hot?,si ugu pvnv ri?
He climber Mt Fuji,bww dwtv Fuji lo gecha pa
Bad habits die hard,alvma nv ngoo nyiba sido
Take on apple each,eppel pusak bv naato
Do you have a motto?,no rinam go dodo?
give food to pig,vrik ka dvgam yakmwk tho
armada,lvpa
The Young Crab And His Mother,yaya tachi la nw gv anv
I will be waiting you tomorrow,nam ngo aaru nyi doorya bv re
don't follow and sit with me,no nga doochar-doyar mabv ki
the cremation has begun,sema ngv rigak duku
Who came?,hvyv aapa?
He gave a deep sigh,bww sakww bv saklin jipa
Are you watching me?,no ngom kaa dvnv ri?
Takar ran,Takar jukro
Don't read my diary,nokv dairy vm puri yo
people are thatching tawk leaves,nyi gvdw tawk kapdo
Takar knows how to sharpen knives,Takar ryochuk twrik dvbv chindo
yasok don't know how to manage living,yasok dvmv-hvrv rvlak ma
It's new,si ani do
I know how to dry rice grain in sunlight,ngo daa loochin do
either you or me,no ya ma ngo ya
tanya is left handed,tanya lakchi do
sir will beat us.,Sir ngunu vm domre.
prepare food and feed baby,anga nyi dvgam mvmwk tho
Takar is my father,Takar ngo gv ab
give one mithun,subu ador gu jito
will you eat food?,no achin dvre hai?
you are the one who lit my soul,no ngokv donyi mvram pargi ngv
Don't say that word,hv gamchar vm minyo
I prefer to down from this side,ngo so takbv igia yaado
grass grow sparsely in mountain,muudw hv nvmw ngv asa-aga seelin do
Start standing up,dakrap to
"It is my humble joy to lead worship, preach the Word of God,","Ngo Pwknvyarnv gv doina kumla japgo kardubv mvngpubv hindo,"
Have you any wool?,No iji hugu doopv nv ri?
your mouth is big,no agam hv gamtv do
Got it?,chinpv?
this year,senyi
appetizer,dvnww tvvnw mvnam
it is enough don't give more,hv kubo jiku ma
do not get slipped,hoobik jila
He's lazy,bww kamdung do
to your uncles and brothers,no kv gv apa-achi nyi
Her only disappointment was that she grew next to an ugly cactus,nw tav seenv apam lo seepv kv hvla sanga-hara tvla doto
Then the elephant met a frog and asked if she could be her friend,hokv svtv tatwk aku nyi no ngo kv ajin ridvbv hvla minto 
Goddess of life,Chetum-Anv
Can you name all the colors of the rainbow?,no iri-langgo gv mwli ya vm minchin re?
Everyone was hungry,nyi mwlww ngv kano pa
I have seen Takar,ngo Takar nyi kaapa pa
Use this,sim mvnv to
hold the water in mouth,agam lo issi umbww tho
where is the remaining money,morko mvlok kv hugu lo
You've got my keys,no ngo gv yeko nvnv vm bvvpa
a bunch of killed birds tied in rope,pvta dorbam gu
Everybody applauded,nyi mwnww svbok pa
Don't you feel cold?,no swkwr himpa ma?
apple,appel
chopping of bone,allo jarnam
Tapu and his group are building fence,Tapu bulu seluu rakdo
I like red,Ngo yalww vm kaagia do
I may win,ngo yaada re
feeling hungry after working in crop field,rengo mvsaa sudo
already given verbal decision,gaam koro ku
when performing Si-Donyi grand ritual whether it is major deities or the minor deities,Si-donyi yullo uyi mvri nyi uyi yullo jvka yumi uyu jvka
we won,ngunu yaapa
Everyone is special,nyi mwnww ngv ispesial do
Birds fly,pvta jardunv
apathy,hwrchw ma
Warn Takar,Takar nyi minlam to
apparition,vram kaanam
Takar poured Yapi a glass of wine,Takar Yapi lvga bv pvtak lo opo pwlwk jipa
I am eating food,ngo achin dvtv dun
I like to read,ngo puri ribv alvbv mwdo
Did she give birth a child?,hv kuu bvng pai?
father is cooking food,ab achin mvdo
Takar is asleep,Takar yupdo
sixth day,akhv jinv alo
You must not smoke,no tvvduu tvvma bv ka
who is that person who said is studying?,puri do hvnam hv hvye la?
He died a happy man,bww himpu nv nyi bv siro
baby started talking too early,anga agam raaba do
then I will become your melody,ngo rire nokv tvpu bv
don't sleep in someone's house,aku nvgv naam lo nyupma bvka
Takar said he wanted some company,Takar ajin arom go chinchi pvkv hvla hvpa
poor has no money,yeema ngv morko kama
Takar made up his mind right away,Takar hvjak pi bv mwwtar pa
"He wanted to do what he could with the help of the brothers and sisters, so he went to Spain.","Ninyigv rungnampanam jvngv kudungkua nga Kristan vdwgv aralo richore mvngtoku, okv vbvrikunamv bunugv ridurripa kunam lokv, Spain lo vngdung toku."
I'm well,ngo alv do
Everyone's laughing,nyi mwlww ngv nyordo
due to which the sister chungnv and the brother riabu called and gathered all the other deities,Hvbv riku nvngv chungnv la Riabu bunyi okv uyu mvnwng hv mingkor layi kula
On hearing about the five days of restriction the bat came out of its hole and lied to Riumching about Riumdo that he is not following the restriction then why are you following it,Vm tvtu kula Pinchi hv chinchap-dochap lokv linla Riumching nyi ryabla Riumdo arw rwma gvrila no hugu v arw rwkw ryadu nv hvla minji to
if i had three mithuns,subu dorom go dobolo
You cannot go without a stick,Bangnyi bvvma lo no vngnyu ram
go along,vvming gvto
I cant find the joints,aguu-a kaapa ma ngo
Can we just go home?,ngulu hvbv naam vvka la re? 
Are you guys hungry?,nunu mvnww kaano pvnv ri?
The Singing and Worship of the church: 11:2—14:40,Gvrja gv singdung okv kumnamjonam: 11:2—14:40
Takar put the steaks on the grill,Takar adin ayak vm dingkio lo haasin pa
lifting log using a lever,seepo kooyin
we will have to worked for ten more day,ngunu alo lori gubv rikv dubv rire
you are different,no angu sudo
you are very good in cooking,no achin mvki do
like an officer,nyigam gobv
May the grace of the Lord be with us all.,Kristo gv aya ngv ngonu mvnwng gv lvkobv doi laka hvla ngo kumdunv.
give me something to sit on,duupi naato
eat around,dvkar
after the death of my father,ngokv abu nyi baru-baro motvla
Clear off the table,tebvl vm mvkak to
a person who is blessed by nyiki donyi becomes a rich priest,Nyiki Donyi gv kinam hv nyitv-nyibu dunv yu
do not move the mug with leg,koobv nga lvtoo ma
Our paddy fields and tiny huts,Ngunu gv rvngo nampom
The Money for the Christians of Judea (Matthew 8:1-9:15),Judia gv Kristan vdwa morko jinam (8:1—9:15)
make out ,melin
You wear a hat,no bolup gvdo
What is this?,Si hugu la?
put some medicne in the wound,uun lo nvvnv pyakto
I have already used egg for chanting,kaalum pwpw vm chidum chiro ku
The elephant them came across a rabbit and asked him if she could be his friend,hokv svtv angv lamda lo rebit nyi kaapa la no ngo kv ajin ridu bv ri hvla tvka to
Grab Takar,Takar nyi gabw to
Take Takar,Takar nyi bvlai
I did not sleep whole night,ngo seeyu nyuma bv huuyin do
The Tale of the Pencil,Pensil gv nyitin gaam
10 years,acham anying
only tara is counting alone,tara kimwng do
I am weak,ngo gooyu pa
shoot down bird,pvta aplu
Baby ducks are cute,pvjap gv yaya gwdw kaangam do
Do you have a favorite song?,nok kv alv yasuk nv gaana dodo?
I am excited,ngo mvdok do
Delete that picture,olo yalu vm twa to
making arrangment of labour for a work,nyii yikkar nam
I cried for you,no lvkwng bv ngo kapdo
Did Takar ask you out?,Takar nom tvka pvnv ri?
It is okay,alv re
what are you counting around,no hugu kikar dunv
Non-Christians and Christians: 8:1—11:1,Kristan okv kristan rimanv: 8:1—11:1
Doring chijing advised sister chungnv and brother riabu,Doring-chijing mingku nvngv Chungnv nv Riabu bunyi
"After Jesus was shown to be the word of God, he was healed and promised to be the savior in the gospel.","Jisunyi Pwknvyarnv gv turbwngnv gamchar v vla kaatamro kochingbv minchonam Gamlv lo Jisu mvpu nvbv okv milv jinam Ringnv ngv,"
Let's go!,kaju!
"Look carefully at the scroll of testimony, which you have heard.","So gv mvring nam adap kitap sim alvbv lvgla katolaka, hookv tvgap tvvla ka de."
you take the money ok,morko nga no naala hai
One who ate the food was not Taro,achin dvnv Taro ryama
He gave me his word,v ngom nw gv gamchar jipa
One day the brothers and sisters of the brothers and sisters of Jesus went up to the area of Jerusalem where the brothers and sisters of the brothers and sisters were living.,(1) atuake ho Jerusalem mooku lo kristan vdwv rirab kunam ho Jisu gv ao mooku bv Chaakunamv;
can you sleep here,no so nyubnyu re
"goddess sun, if you don't exists,","ayo donyi no dooma bolo,"
I am not good,ngo alv ma
He fired but missed,bww mabuk abnamv apjik ma
tara is staying and counting mithun,tara subu kila doopv
Everybody likes you,nyi mwnww nom aya do
You're not helping,no mvdor ka kuma
Takar likes taking walks at night,Takar aryum lo daakar dvbv alv bv mwwdo
Everybody likes Takar,nyi mwlww Takar nyi pakdo
Mother's sister daughter,nyinyi
I'm a man,ngo narbu v
Takar pulled Yapi out of the pool,Takar Yapi nyi selv lokv selin pa
These kinds of clothes are fine,hvkv nv iji v alv do
she is my sister,si ngo gv anyi
This beautiful place,Kaapu nv moko si
You seem depressed,no mooya-moi bv kaado
Let's clean the surroundings of our own house,atu boogv naam dooku ha pakak laju
Guess what Takar said,Takar hugu hvpv bo hvla mwwka to
arbor,loonwk
rain is falling heavily,nyido ngv rvbia-rvbia oodu
give one pointed stick,tumbu soogu jito
I stay,ngo doodo
It hurts,si ichi mvdo
He got on the train,v tren ao lo chaado
look attractive,kaayin
You take the money,no morko sim naala kv
Awesome!,anyuu!
clear the surrounding of the mengo tree,aam seenv so mvngi tho
the footprint of the deer went through this way,svdum lvlam v so bv vvpv
tara killed tapa by scolding,tara tapa nyi yamki ro
You might be right,no mwwjik ka pvso
did you eat food?,no achin dvpv nv?
He has a nose bleed,bww gv naw lokv uyi sarlin do
the friends fought and each cow went to graze in a different direction,ajin gwdww mvdar-minsu la nwgww nvsing-uju lo nvsii-nvma dvlin dvbv vvto
I'm new,ngo nutun do
Don't tell your dad,nogv abu nyi minpa mabv ka
does he works hard?,bv ator bv gvdo?
I'm a man,ngo nyiga v
Don't go in my room,ngo vrww lo aayo
The scroll of the apostles is Luke’s good news.,Apostol vdwgv Nyingnam vnam kitap si Luk gv alvnv Gamlv lvktong ngv.
dog is holding a bone,ikki hv allo gambw do
Tara is still roasting the meat,tara addin baabw do
Boil those potatoes,olo aluu vm hungto
He drives a Ferrari,bww Ferrari jokdo
It's good to study in the morning ,aaru nyi puri dubv alv do
Look out!,kaato!
"The people who were angry with him refused to listen to what he said, even though he had made fun of it and had fun with it.","Minam gv lvkwng ngv nw vbv minik mirikla nyarjikau nama mvngpubv torwk siku lokv ninyia tvvnwng makv vla haaknv vdwv bunu atuv mvngdin sutoku, okv alvsutoku."
I run fast,bapu bv jokla kv
Come quickly and take the child away,Hvmi vm chalaila byapu bv vngv laku
Takar quietly knocked on the door,Takar acho bv vvryap vm takjin pa
always staring at me,ngom kaadv-kaadv la
He does not walk fast,hv bapu bv vngma do
My paddy is not good this year,ngo aam hv sinying alv ma
Takar needs the money desperately,Takar silv maabv murko chinchi do
You're charismatic,no kaangam do
make some correction to tara,tara nyi ajin-abia jito
Who is doing it?,So hvyv mvdo?
gathering of people have finished,nyii doopam pamnya rooku
Takar is coming,Takar aado
I was carrying firewood wholeday,ngo selu vsii gvyin-gvyin pa
Your skin does not look good,no gv apen hv karu do
You like pizza,no pitja alvbv mwdo
Can you drive a car?,no gaari jukchin do?
around (time),mooku nyi
don't hurt my heart,ngo haapok ka mvlok
A cold wind blew in,swkwr nv doori milin do
Talin is drinking alcohol in a bamboo container,Talin duurw lo oppo twkar do
Does your wife know?,no gv nyemv chindo?
Now we will not go we will not be able to reach on time,Svji ngunu vngku kumare
this house is belongs to both of them,naam si anyi gv ngv
